PLAYER,TEAM,EFF,8+D%,TLOS,ATT,YDS,AVG,TD,Season,Week
Derrick Henry,TEN,4.87,73.33,3.47,15,65,4.3,1,2016,17
Jonathan Stewart,CAR,5.6,15,3.26,20,65,3.3,1,2016,17
Frank Gore,IND,3.91,31.25,2.8,16,62,3.9,0,2016,17
Kerwynn Williams,ARI,3.71,41.67,2.72,12,60,5,1,2016,17
Jay Ajayi,MIA,4.88,6.25,2.62,16,59,3.7,0,2016,17
Charcandrick West,KC,4.19,18.75,2.66,16,58,3.6,0,2016,17
Devontae Booker,DEN,4.15,14.29,2.46,14,57,4.1,1,2016,17
Rashad Jennings,NYG,4.14,16.67,2.15,18,52,2.9,1,2016,17
LeGarrette Blount,NE,4.62,35.71,2.69,14,51,3.6,1,2016,17
Dion Lewis,NE,3.28,9.09,2.37,11,48,4.4,0,2016,17
Kenneth Dixon,BAL,3.79,20,2.4,10,44,4.4,1,2016,17
Shaun Draughn,SF,6.56,9.52,2.36,21,41,2,2,2016,17
Mike Gillislee,BUF,6.31,40,2.93,15,40,2.7,1,2016,17
Todd Gurley,LAR,5.86,--,2.68,14,40,2.9,0,2016,17
Rob Kelley,WAS,5.97,25,2.58,12,33,2.8,0,2016,17
Alfred Blue,HOU,5.82,36.36,2.97,11,28,2.5,0,2016,17
Jeremy Langford,CHI,6.5,20,2.47,10,26,2.6,0,2016,17
DeMarco Murray,TEN,7.61,72.73,2.98,11,21,1.9,0,2016,17
Kareem Hunt,KC,2.82,35.29,2.92,17,148,8.7,1,2017,1
Dalvin Cook,MIN,3.94,40.91,3.04,22,127,5.8,0,2017,1
LeSean McCoy,BUF,3.69,4.55,2.8,22,110,5,0,2017,1
Ezekiel Elliott,DAL,4.14,20.83,2.92,24,104,4.3,0,2017,1
Leonard Fournette,JAX,3.78,57.69,2.33,26,100,3.8,1,2017,1
C.J. Anderson,DEN,3.72,35,2.46,20,81,4.1,0,2017,1
Terrance West,BAL,4.19,26.32,2.89,19,80,4.2,1,2017,1
Marshawn Lynch,OAK,3.64,33.33,2.66,18,76,4.2,0,2017,1
Javorius Allen,BAL,4.05,38.1,2.59,21,71,3.4,0,2017,1
Lamar Miller,HOU,3.96,11.76,2.58,17,65,3.8,0,2017,1
Jonathan Stewart,CAR,5.19,55.56,2.93,18,65,3.6,0,2017,1
Melvin Gordon,LAC,4.83,55.56,2.75,18,54,3,0,2017,1
Ty Montgomery,GB,4.74,26.32,2.78,19,54,2.8,1,2017,1
Jordan Howard,CHI,5.09,38.46,2.89,13,52,4,1,2017,1
Christian McCaffrey,CAR,5.76,23.08,3,13,47,3.6,0,2017,1
LeGarrette Blount,PHI,4.3,28.57,2.31,14,46,3.3,0,2017,1
Mike Gillislee,NE,4.89,53.33,2.5,15,45,3,3,2017,1
DeMarco Murray,TEN,4.34,41.67,3.06,12,44,3.7,0,2017,1
Frank Gore,IND,3.61,10,2.48,10,42,4.2,0,2017,1
Mike Tolbert,BUF,4.27,8.33,2.72,12,42,3.5,1,2017,1
Todd Gurley,LAR,8.2,10.53,3.18,19,40,2.1,1,2017,1
Jamaal Charles,DEN,5.66,20,3.24,10,40,4,0,2017,1
James White,NE,4.3,10,2.3,10,38,3.8,0,2017,1
Devonta Freeman,ATL,6.34,8.33,2.98,12,37,3.1,1,2017,1
Isaiah Crowell,CLE,7.62,5.88,2.91,17,33,1.9,0,2017,1
Le'Veon Bell,PIT,4.23,--,3.07,10,32,3.2,0,2017,1
Rob Kelley,WAS,6.45,30,2.89,10,30,3,0,2017,1
Ameer Abdullah,DET,8.56,6.67,3.09,15,30,2,0,2017,1
Marlon Mack,IND,6.82,30,3.01,10,24,2.4,1,2017,1
David Johnson,ARI,8.4,9.09,3.28,11,23,2.1,0,2017,1
Carlos Hyde,SF,2.78,33.33,2.34,15,124,8.3,0,2017,2
Jay Ajayi,MIA,4.1,10.71,2.68,28,122,4.4,0,2017,2
C.J. Anderson,DEN,3.19,4,2.34,25,118,4.7,1,2017,2
Chris Carson,SEA,3.95,25,2.78,20,93,4.7,0,2017,2
Derrick Henry,TEN,2.82,71.43,2.3,14,92,6.6,1,2017,2
Todd Gurley,LAR,3.18,18.75,2.62,16,88,5.5,1,2017,2
Le'Veon Bell,PIT,4.73,14.81,3.09,27,87,3.2,0,2017,2
Ameer Abdullah,DET,4.11,35.29,3.25,17,86,5.1,0,2017,2
Devonta Freeman,ATL,3.28,36.84,2.85,19,84,4.4,2,2017,2
Kareem Hunt,KC,3.08,38.46,2.77,13,81,6.2,2,2017,2
Rob Kelley,WAS,2.54,58.33,2.52,12,78,6.5,0,2017,2
Mike Gillislee,NE,4.55,66.67,2.79,18,69,3.8,1,2017,2
Samaje Perine,WAS,4.07,42.86,2.72,21,67,3.2,0,2017,2
Jacquizz Rodgers,TB,4.34,31.58,2.75,19,67,3.5,1,2017,2
Javorius Allen,BAL,4.28,21.43,2.39,14,66,4.7,0,2017,2
Dalvin Cook,MIN,3.14,--,2.46,12,64,5.3,0,2017,2
Lamar Miller,HOU,4.33,22.22,2.68,18,61,3.4,0,2017,2
Darren Sproles,PHI,4.22,--,2.86,10,48,4.8,0,2017,2
Peyton Barber,TB,3.53,30,2.8,10,47,4.7,0,2017,2
Frank Gore,IND,4.08,50,2.83,14,46,3.3,1,2017,2
Marshawn Lynch,OAK,4.31,25,3.24,12,45,3.8,1,2017,2
Chris Johnson,ARI,4.04,18.18,2.62,11,44,4,0,2017,2
Jonathan Stewart,CAR,6.06,33.33,3.18,15,40,2.7,0,2017,2
Leonard Fournette,JAX,5.68,42.86,2.45,14,40,2.9,1,2017,2
D'Onta Foreman,HOU,4.68,25,3.1,12,40,3.3,0,2017,2
Isaiah Crowell,CLE,4.5,50,2.64,10,37,3.7,0,2017,2
Ty Montgomery,GB,4.07,40,3.15,10,35,3.5,1,2017,2
LeSean McCoy,BUF,16.12,25,2.53,12,9,0.8,0,2017,2
Kareem Hunt,KC,2.21,17.65,2.94,17,172,10.1,1,2017,3
Jordan Howard,CHI,3.8,17.39,3.34,23,140,6.1,2,2017,3
DeMarco Murray,TEN,2.42,64.29,2.53,14,115,8.2,1,2017,3
Todd Gurley,LAR,4.1,46.43,2.94,28,113,4,2,2017,3
Devonta Freeman,ATL,3.74,47.62,2.83,21,106,5,1,2017,3
Dalvin Cook,MIN,3.98,25.93,2.63,27,97,3.6,1,2017,3
Carlos Hyde,SF,4.26,52,2.83,25,84,3.4,2,2017,3
Ezekiel Elliott,DAL,4.89,36.36,2.98,22,80,3.6,1,2017,3
Melvin Gordon,LAC,4.19,11.76,2.94,17,79,4.6,1,2017,3
Tarik Cohen,CHI,3.87,--,3.24,12,78,6.5,0,2017,3
Wendell Smallwood,PHI,2.96,--,2.85,12,71,5.9,0,2017,3
LeGarrette Blount,PHI,3.19,33.33,2.76,12,67,5.6,1,2017,3
Joe Mixon,CIN,5.04,16.67,2.82,18,62,3.4,0,2017,3
Le'Veon Bell,PIT,3.79,6.67,3.01,15,61,4.1,1,2017,3
Leonard Fournette,JAX,4.38,58.82,2.56,17,59,3.5,1,2017,3
Jonathan Stewart,CAR,3.76,58.33,2.99,12,57,4.8,0,2017,3
Frank Gore,IND,5.43,24,2.57,25,57,2.3,1,2017,3
Mark Ingram,NO,4.27,50,2.68,14,56,4,0,2017,3
Lamar Miller,HOU,3.65,50,2.58,14,56,4,0,2017,3
Derrick Henry,TEN,4.5,46.15,2.85,13,54,4.2,0,2017,3
Samaje Perine,WAS,4.75,31.58,2.72,19,49,2.6,0,2017,3
Ameer Abdullah,DET,4.93,28.57,3.14,14,47,3.4,0,2017,3
Isaiah Crowell,CLE,4.59,41.67,3.15,12,44,3.7,0,2017,3
Mike Tolbert,BUF,3.72,72.73,2.87,11,41,3.7,0,2017,3
Bilal Powell,NYJ,6.65,53.33,2.49,15,37,2.5,1,2017,3
Ty Montgomery,GB,4.85,25,2.75,12,35,2.9,0,2017,3
Chris Carson,SEA,4.61,9.09,2.58,11,34,3.1,0,2017,3
Mike Gillislee,NE,6.03,50,2.62,12,31,2.6,0,2017,3
LeSean McCoy,BUF,9.5,57.14,3.02,14,21,1.5,0,2017,3
Chris Johnson,ARI,10.31,--,2.86,12,17,1.4,0,2017,3
Jay Ajayi,MIA,10.56,9.09,2.36,11,16,1.5,0,2017,3
Bilal Powell,NYJ,2.36,47.62,2.71,21,163,7.8,1,2017,4
Le'Veon Bell,PIT,4.43,25.71,3.45,35,144,4.1,2,2017,4
LeGarrette Blount,PHI,2.49,25,2.63,16,136,8.5,0,2017,4
Todd Gurley,LAR,3.6,4.35,2.88,23,121,5.3,0,2017,4
Kareem Hunt,KC,3.88,38.1,2.95,21,101,4.8,0,2017,4
C.J. Anderson,DEN,3.21,25,2.63,20,95,4.8,0,2017,4
Ameer Abdullah,DET,3.48,30,3.03,20,94,4.7,1,2017,4
Elijah McGuire,NYJ,2.2,30,2.82,10,93,9.3,1,2017,4
Leonard Fournette,JAX,4.12,41.67,2.5,24,86,3.6,0,2017,4
Ezekiel Elliott,DAL,3.76,57.14,2.81,21,85,4,1,2017,4
Jacquizz Rodgers,TB,2.94,18.75,2.94,16,83,5.2,0,2017,4
LeSean McCoy,BUF,4.33,60,2.83,20,76,3.8,0,2017,4
Lamar Miller,HOU,3.54,10.53,2.36,19,75,3.9,1,2017,4
Carlos Hyde,SF,3.92,50,2.68,16,68,4.3,0,2017,4
Jonathan Stewart,CAR,3.35,42.86,2.63,14,68,4.9,0,2017,4
Dalvin Cook,MIN,3.42,30.77,2.39,13,66,5.1,1,2017,4
Devonta Freeman,ATL,5.75,27.78,3.18,18,58,3.2,1,2017,4
Jordan Howard,CHI,5.38,66.67,2.94,18,53,2.9,1,2017,4
Eddie Lacy,SEA,3.47,9.09,2.61,11,52,4.7,0,2017,4
Aaron Jones,GB,4.45,30.77,2.77,13,49,3.8,1,2017,4
Mike Gillislee,NE,3.92,41.67,2.57,12,49,4.1,0,2017,4
Frank Gore,IND,3.22,41.67,2.55,12,46,3.8,0,2017,4
Jay Ajayi,MIA,4.59,25,2.78,12,46,3.8,0,2017,4
D'Onta Foreman,HOU,4.31,30.77,2.64,13,45,3.5,0,2017,4
Mark Ingram,NO,4.84,50,2.91,14,45,3.2,0,2017,4
Wayne Gallman,NYG,3.54,--,2.62,11,42,3.8,0,2017,4
Chris Carson,SEA,4.75,--,3.16,12,42,3.5,0,2017,4
Wendell Smallwood,PHI,4.53,10,2.93,10,34,3.4,1,2017,4
Chris Johnson,ARI,5.75,30.77,2.63,13,32,2.5,0,2017,4
Corey Clement,PHI,5.18,10,2.61,10,30,3,0,2017,4
Joe Mixon,CIN,8.29,35.29,3.19,17,29,1.7,0,2017,4
Melvin Gordon,LAC,6.4,20,2.87,10,22,2.2,0,2017,4
Leonard Fournette,JAX,2.74,39.29,2.55,28,181,6.5,2,2017,5
Aaron Jones,GB,3.11,15.79,2.96,19,125,6.6,1,2017,5
Ezekiel Elliott,DAL,3.85,20.69,2.88,29,116,4,0,2017,5
Kareem Hunt,KC,4.97,44.83,3.34,29,107,3.7,0,2017,5
Melvin Gordon,LAC,3.56,20,2.79,20,105,5.3,0,2017,5
Jerick McKinnon,MIN,3.48,12.5,2.79,16,95,5.9,1,2017,5
Jay Ajayi,MIA,5.15,20,2.64,25,77,3.1,0,2017,5
Jordan Howard,CHI,5.82,52.63,3.08,19,76,4,0,2017,5
LeGarrette Blount,PHI,3.57,42.86,2.97,14,74,5.3,0,2017,5
Doug Martin,TB,2.79,23.08,2.82,13,74,5.7,1,2017,5
Lamar Miller,HOU,2.99,6.67,2.58,15,74,4.9,0,2017,5
Javorius Allen,BAL,3.61,33.33,2.5,21,73,3.5,1,2017,5
LeSean McCoy,BUF,5.32,10.53,3.26,19,63,3.3,0,2017,5
Isaiah Crowell,CLE,4.77,50,3.07,16,60,3.8,0,2017,5
DeMarco Murray,TEN,4.44,14.29,3.02,14,58,4.1,0,2017,5
Wayne Gallman,NYG,3.38,--,2.56,11,57,5.2,0,2017,5
Alex Collins,BAL,4.22,16.67,3.09,12,55,4.6,0,2017,5
Mike Gillislee,NE,3.71,16.67,2.55,12,52,4.3,0,2017,5
Joe Mixon,CIN,4.93,20,3.43,15,51,3.4,1,2017,5
Matt Breida,SF,3.77,20,2.6,10,49,4.9,0,2017,5
Frank Gore,IND,4.46,28.57,2.61,14,48,3.4,0,2017,5
Le'Veon Bell,PIT,5.61,33.33,3.1,15,47,3.1,0,2017,5
Marshawn Lynch,OAK,4.35,25,2.58,12,43,3.6,1,2017,5
Todd Gurley,LAR,5.78,14.29,2.85,14,43,3.1,0,2017,5
Latavius Murray,MIN,6.22,8.33,2.86,12,31,2.6,0,2017,5
Ameer Abdullah,DET,5.27,40,2.81,10,31,3.1,0,2017,5
Jonathan Stewart,CAR,11.75,33.33,3.16,18,21,1.2,0,2017,5
Elijah McGuire,NYJ,8.39,9.09,3.15,11,20,1.8,0,2017,5
Le'Veon Bell,PIT,3.46,21.88,3.27,32,179,5.6,1,2017,6
Jordan Howard,CHI,4.37,36.11,3.03,36,167,4.6,0,2017,6
Adrian Peterson,ARI,3.91,19.23,2.75,26,134,5.2,2,2017,6
Derrick Henry,TEN,3.27,42.11,3.3,19,131,6.9,1,2017,6
Leonard Fournette,JAX,3.15,57.14,2.92,21,130,6.2,1,2017,6
Jay Ajayi,MIA,3.54,50,2.63,26,130,5,0,2017,6
Orleans Darkwa,NYG,2.95,80.95,2.98,21,117,5.6,0,2017,6
Todd Gurley,LAR,3.24,21.74,2.64,23,116,5,0,2017,6
Mark Ingram,NO,3.86,28,2.84,25,114,4.6,2,2017,6
Melvin Gordon,LAC,4.61,20,2.46,25,83,3.3,1,2017,6
Alvin Kamara,NO,3.31,20,3.1,10,75,7.5,0,2017,6
Alex Collins,BAL,4.76,--,3.27,15,74,4.9,0,2017,6
Jerick McKinnon,MIN,5.04,6.67,2.9,15,69,4.6,1,2017,6
LeGarrette Blount,PHI,3.47,42.86,2.74,14,67,4.8,0,2017,6
Marshawn Lynch,OAK,3.36,30.77,2.58,13,63,4.8,0,2017,6
D'Onta Foreman,HOU,3.32,16.67,2.77,12,59,4.9,0,2017,6
Isaiah Crowell,CLE,3.53,33.33,3.17,12,58,4.8,0,2017,6
Ameer Abdullah,DET,4.68,--,3.22,14,54,3.9,0,2017,6
Doug Martin,TB,4.05,21.43,2.81,14,53,3.8,1,2017,6
Dion Lewis,NE,3.47,45.45,2.84,11,52,4.7,1,2017,6
Frank Gore,IND,3.14,20,2.53,10,49,4.9,0,2017,6
Javorius Allen,BAL,2.74,20,2.09,10,49,4.9,0,2017,6
Mike Gillislee,NE,2.93,40,2.28,10,44,4.4,0,2017,6
Lamar Miller,HOU,4.75,26.67,2.85,15,41,2.7,0,2017,6
Aaron Jones,GB,4.99,--,2.86,13,41,3.2,0,2017,6
DeMarco Murray,TEN,4.55,16.67,2.76,12,40,3.3,1,2017,6
Chris Thompson,WAS,7.5,12.5,2.87,16,33,2.1,0,2017,6
Tarik Cohen,CHI,8.14,21.43,2.96,14,32,2.3,0,2017,6
Ty Montgomery,GB,5.7,--,3.07,10,28,2.8,0,2017,6
Latavius Murray,MIN,7.88,40,2.75,15,28,1.9,0,2017,6
Carlos Hyde,SF,7.97,76.92,2.85,13,28,2.2,2,2017,6
Elijah McGuire,NYJ,7.42,20,3.16,10,22,2.2,0,2017,6
Ezekiel Elliott,DAL,3.32,23.08,2.78,26,147,5.7,2,2017,7
Le'Veon Bell,PIT,4.27,17.14,2.92,35,134,3.8,0,2017,7
Aaron Jones,GB,2.92,29.41,2.73,17,131,7.7,1,2017,7
Latavius Murray,MIN,2.55,27.78,2.69,18,113,6.3,1,2017,7
Todd Gurley,LAR,3.39,18.18,2.55,22,106,4.8,1,2017,7
Mark Ingram,NO,3.59,50,2.5,22,105,4.8,1,2017,7
LeSean McCoy,BUF,4.24,26.09,2.82,23,91,4,2,2017,7
Kareem Hunt,KC,3.24,5.56,2.95,18,87,4.8,0,2017,7
Dion Lewis,NE,2.93,53.85,2.7,13,76,5.8,0,2017,7
Devonta Freeman,ATL,3.2,--,2.76,12,72,6,0,2017,7
Carlos Hyde,SF,3.76,21.43,2.86,14,68,4.9,0,2017,7
Jordan Howard,CHI,5.27,57.14,2.32,21,65,3.1,0,2017,7
DeMarco Murray,TEN,4.65,50,2.67,18,59,3.3,0,2017,7
Jay Ajayi,MIA,6.63,30.43,2.71,23,51,2.2,0,2017,7
Doug Martin,TB,6.16,15,3.02,20,49,2.5,0,2017,7
Malcolm Brown,LAR,3.76,--,2.35,11,48,4.4,0,2017,7
Jonathan Stewart,CAR,4.68,28.57,2.69,14,48,3.4,0,2017,7
Chris Ivory,JAX,4.56,64.71,2.59,17,47,2.8,1,2017,7
Jerick McKinnon,MIN,4.21,42.86,2.97,14,47,3.4,0,2017,7
C.J. Anderson,DEN,3.61,10,2.57,10,44,4.4,0,2017,7
Melvin Gordon,LAC,6.54,66.67,2.74,18,38,2.1,0,2017,7
Thomas Rawls,SEA,5.37,27.27,2.93,11,36,3.3,0,2017,7
Isaiah Crowell,CLE,6.63,17.65,2.62,17,35,2.1,0,2017,7
Eddie Lacy,SEA,5.28,18.18,2.71,11,34,3.1,0,2017,7
Alex Collins,BAL,5.44,10,3.23,10,30,3,0,2017,7
LeGarrette Blount,PHI,7.01,35.71,2.73,14,29,2.1,0,2017,7
Adrian Peterson,ARI,7.06,45.45,2.7,11,21,1.9,0,2017,7
Derrick Henry,TEN,13.45,38.46,2.56,13,13,1,0,2017,7
LeSean McCoy,BUF,3.15,48.15,2.66,27,151,5.6,1,2017,8
Ezekiel Elliott,DAL,3.1,30.3,2.79,33,150,4.5,2,2017,8
Melvin Gordon,LAC,2.3,14.29,2.59,14,132,9.4,1,2017,8
Alex Collins,BAL,3.44,33.33,3.36,18,113,6.3,0,2017,8
Jordan Howard,CHI,4.14,73.91,2.98,23,102,4.4,0,2017,8
Tevin Coleman,ATL,2.79,50,2.65,14,82,5.9,0,2017,8
Frank Gore,IND,2.81,18.75,2.5,16,82,5.1,0,2017,8
C.J. Anderson,DEN,3.23,13.33,2.43,15,78,5.2,0,2017,8
Le'Veon Bell,PIT,4.75,44,2.89,25,76,3,1,2017,8
Mark Ingram,NO,3.71,22.22,2.59,18,75,4.2,1,2017,8
Doug Martin,TB,4.26,27.78,2.91,18,71,3.9,0,2017,8
Isaiah Crowell,CLE,3.1,18.18,2.59,11,64,5.8,1,2017,8
Javorius Allen,BAL,3.95,41.18,2.48,17,55,3.2,0,2017,8
Lamar Miller,HOU,4.96,19.05,2.47,21,54,2.6,1,2017,8
Corey Clement,PHI,3.39,50,2.88,10,54,5.4,0,2017,8
Jerick McKinnon,MIN,5.8,28.57,3,14,50,3.6,1,2017,8
LeGarrette Blount,PHI,5.87,37.5,2.79,16,48,3,1,2017,8
Kareem Hunt,KC,8.11,54.55,3.16,22,46,2.1,0,2017,8
Dion Lewis,NE,4.12,20,2.54,15,44,2.9,0,2017,8
Devonta Freeman,ATL,4.17,16.67,2.92,12,41,3.4,0,2017,8
Latavius Murray,MIN,6.4,31.58,2.57,19,39,2.1,0,2017,8
Jonathan Stewart,CAR,5.2,54.55,2.62,11,34,3.1,1,2017,8
Mike Gillislee,NE,4.19,72.73,2.53,11,34,3.1,0,2017,8
Bilal Powell,NYJ,5.84,28.57,3,14,33,2.4,0,2017,8
Marlon Mack,IND,7.14,27.27,3.08,11,27,2.5,0,2017,8
Ameer Abdullah,DET,7.21,27.27,3.26,11,27,2.5,0,2017,8
Carlos Hyde,SF,7.42,41.67,2.96,12,25,2.1,0,2017,8
Jay Ajayi,MIA,7.68,38.46,2.91,13,23,1.8,0,2017,8
Joe Mixon,CIN,8.94,45.45,3.52,11,18,1.6,0,2017,8
Adrian Peterson,ARI,3.6,62.16,2.68,37,159,4.3,0,2017,9
Ezekiel Elliott,DAL,4.61,33.33,2.73,27,93,3.4,1,2017,9
Mark Ingram,NO,3.3,12.5,2.58,16,77,4.8,0,2017,9
Matt Forte,NYJ,3.23,21.43,2.97,14,77,5.5,2,2017,9
Orleans Darkwa,NYG,3.06,31.25,2.46,16,71,4.4,0,2017,9
Chris Ivory,JAX,4.36,50,2.57,20,70,3.5,0,2017,9
Alvin Kamara,NO,3.25,10,2.8,10,68,6.8,1,2017,9
Christian McCaffrey,CAR,4.55,40,2.81,15,66,4.4,1,2017,9
Todd Gurley,LAR,4.38,31.25,2.86,16,59,3.7,2,2017,9
Marshawn Lynch,OAK,3.47,42.86,2.92,14,57,4.1,2,2017,9
Malcolm Brown,LAR,4.71,33.33,2.9,15,57,3.8,0,2017,9
Lamar Miller,HOU,2.75,--,2.39,10,57,5.7,0,2017,9
Frank Gore,IND,4.64,47.06,2.87,17,51,3,0,2017,9
Corey Clement,PHI,4.12,41.67,2.9,12,51,4.3,2,2017,9
Ameer Abdullah,DET,6.78,9.52,3.23,21,48,2.3,1,2017,9
Devonta Freeman,ATL,3.4,45.45,2.31,11,46,4.2,0,2017,9
Alex Collins,BAL,4.87,30.77,2.87,13,43,3.3,0,2017,9
T.J. Yeldon,JAX,3.83,18.18,2.33,11,41,3.7,0,2017,9
Carlos Hyde,SF,4.55,50,2.73,12,41,3.4,0,2017,9
D'Onta Foreman,HOU,4.14,--,2.36,11,37,3.4,0,2017,9
Peyton Barber,TB,4.86,45.45,3.06,11,34,3.1,0,2017,9
Joe Mixon,CIN,5.55,30.77,2.35,13,31,2.4,1,2017,9
Elijah McGuire,NYJ,8.67,46.15,3.88,13,30,2.3,0,2017,9
LeSean McCoy,BUF,6.4,75,2.92,12,25,2.1,0,2017,9
Jonathan Stewart,CAR,7.62,72.73,2.81,11,21,1.9,0,2017,9
Rob Kelley,WAS,10.34,35.71,2.47,14,18,1.3,2,2017,9
Mark Ingram,NO,2.73,42.86,2.3,21,131,6.2,3,2017,10
Jonathan Stewart,CAR,3.07,41.18,3.2,17,110,6.5,0,2017,10
Alvin Kamara,NO,2.82,33.33,2.72,12,106,8.8,1,2017,10
Carlos Hyde,SF,3.84,17.65,3.23,17,101,5.9,0,2017,10
Isaiah Crowell,CLE,2.63,18.75,2.52,16,90,5.6,1,2017,10
Tevin Coleman,ATL,4.09,20,2.66,20,83,4.2,1,2017,10
Le'Veon Bell,PIT,5.89,23.08,3.35,26,80,3.1,0,2017,10
Orleans Darkwa,NYG,3.16,35.71,2.62,14,73,5.2,0,2017,10
Latavius Murray,MIN,3.52,64.71,2.57,17,68,4,1,2017,10
Todd Gurley,LAR,3.36,--,2.99,11,68,6.2,0,2017,10
Jamaal Williams,GB,4.22,40,2.89,20,67,3.4,0,2017,10
Lamar Miller,HOU,2.93,63.64,2.59,11,60,5.5,0,2017,10
Dion Lewis,NE,3.63,64.29,2.51,14,55,3.9,1,2017,10
Jordan Howard,CHI,4.37,33.33,3,15,54,3.6,0,2017,10
C.J. Anderson,DEN,3.08,20,2.61,10,54,5.4,0,2017,10
Duke Johnson,CLE,3.39,--,2.8,10,54,5.4,0,2017,10
Frank Gore,IND,4.24,23.53,2.92,17,54,3.2,0,2017,10
Alfred Morris,DAL,3.42,63.64,2.91,11,53,4.8,0,2017,10
Ameer Abdullah,DET,3.56,9.09,2.93,11,52,4.7,1,2017,10
Derrick Henry,TEN,3.77,27.27,2.92,11,52,4.7,0,2017,10
Doug Martin,TB,5.62,40,2.93,20,51,2.6,0,2017,10
Austin Ekeler,LAC,3.63,30,2.41,10,46,4.6,0,2017,10
DeMarco Murray,TEN,4.55,28.57,2.65,14,42,3,2,2017,10
