PLAYER,TEAM,EFF,8+D%,TLOS,ATT,YDS,AVG,TD,Season,Week
Jamaal Williams,GB,3.35,--,2.82,15,95,6.3,1,2018,16
Gus Edwards,BAL,2.39,--,2.45,14,92,6.6,0,2018,16
Ezekiel Elliott,DAL,3.57,11.11,2.78,18,85,4.7,0,2018,16
Derrick Henry,TEN,4.31,61.9,2.7,21,84,4,1,2018,16
Dalvin Cook,MIN,4.12,12.5,2.85,16,73,4.6,0,2018,16
Joe Mixon,CIN,3.58,5.88,2.63,17,68,4,0,2018,16
Jordan Howard,CHI,3.11,--,2.21,13,53,4.1,1,2018,16
Jaylen Samuels,PIT,4.07,--,2.94,12,53,4.4,0,2018,16
Tevin Coleman,ATL,3.64,40,2.91,10,51,5.1,0,2018,16
Phillip Lindsay,DEN,4.12,30,2.74,10,46,4.6,0,2018,16
Peyton Barber,TB,5.73,17.65,2.92,17,43,2.5,0,2018,16
Saquon Barkley,NYG,6.96,33.33,3.22,21,43,2,1,2018,16
Leonard Fournette,JAX,7.05,16.67,3.02,18,43,2.4,1,2018,16
Melvin Gordon,LAC,4.3,16.67,2.58,12,41,3.4,1,2018,16
John Kelly,LAR,3.91,100,2.89,10,40,4,0,2018,16
Rex Burkhead,NE,5.57,76.92,3.04,13,39,3,0,2018,16
Elijah McGuire,NYJ,6.21,7.14,3.11,14,35,2.5,1,2018,16
David Johnson,ARI,4.1,30,2.73,10,35,3.5,0,2018,16
Mark Ingram,NO,4.59,27.27,2.61,11,35,3.2,1,2018,16
Marlon Mack,IND,5.31,16.67,2.88,12,34,2.8,1,2018,16
LeGarrette Blount,DET,4.81,54.55,2.63,11,29,2.6,0,2018,16
Jeff Wilson,SF,6.51,9.09,2.87,11,27,2.5,0,2018,16
Josh Adams,PHI,7.28,--,2.69,11,21,1.9,0,2018,16
C.J. Anderson,LAR,2.95,--,2.37,23,132,5.7,1,2018,17
Chris Carson,SEA,3.09,47.37,2.99,19,122,6.4,1,2018,17
Marlon Mack,IND,3.5,20,2.89,25,119,4.8,1,2018,17
Kenneth Dixon,BAL,2.27,8.33,2.88,12,117,9.8,0,2018,17
Alfred Morris,SF,2.99,18.75,2.8,16,111,6.9,1,2018,17
Saquon Barkley,NYG,3.09,29.41,3.56,17,109,6.4,1,2018,17
Jordan Howard,CHI,3.19,23.81,2.73,21,109,5.2,2,2018,17
