PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC,xYAC,+/-,Season,Week
Ryan Grant,WAS,WR,5.7,1.9,16.3,27.97,3,5,60,39,0,3.4,3.4,-0.1,2017,6
Taylor Gabriel,ATL,WR,5.2,1.8,11.1,31.47,4,8,50,39,0,5.1,6.7,-1.6,2017,6
DeSean Jackson,TB,WR,6.1,2,18.8,24.09,3,6,50,38,1,4,4.2,-0.2,2017,6
Jordan Reed,WAS,TE,9.6,2.7,9,15.41,4,5,80,37,0,4.2,3.3,0.9,2017,6
Travis Kelce,KC,TE,4.2,1.7,8.3,20.07,4,7,57.14,37,0,2.4,1.7,0.7,2017,6
Devin Funchess,CAR,WR,7.2,1.6,11.1,26.06,3,9,33.33,36,0,2.8,4,-1.3,2017,6
Ed Dickson,CAR,TE,5.8,3.9,6.8,14.12,4,8,50,36,0,6.2,7.3,-1.1,2017,6
Tyreek Hill,KC,WR,9.9,3.7,10.4,25.15,5,7,71.43,34,0,3.5,3.6,-0.1,2017,6
T.J. Jones,DET,WR,5.7,2.9,7.2,19.33,3,9,33.33,33,0,6.3,3.8,2.5,2017,6
Mike Wallace,BAL,WR,5,3.7,7.4,12.65,3,5,60,30,0,5.1,6.4,-1.3,2017,6
Amari Cooper,OAK,WR,5.7,2.9,6.8,23.48,5,6,83.33,28,0,2.6,3.4,-0.8,2017,6
Benjamin Watson,BAL,TE,4.2,3.5,3.5,9.59,6,8,75,28,0,3.2,3.4,-0.2,2017,6
Marquise Goodwin,SF,WR,6.9,2.4,14.5,15.37,2,5,40,26,0,0.8,2.3,-1.4,2017,6
Ricardo Louis,CLE,WR,7.3,2.8,20.2,41.66,3,7,42.86,25,0,-0.1,0.8,-0.9,2017,6
Michael Campanaro,BAL,WR,5.2,2.6,10.1,17.18,3,5,60,24,0,1.2,0.8,0.4,2017,6
Terrelle Pryor,WAS,WR,5.2,2,10.8,18.57,3,5,60,23,0,-0.3,0.3,-0.5,2017,6
Julius Thomas,MIA,TE,5.2,1.9,11.4,27.19,3,5,60,22,0,0.3,1.2,-0.9,2017,6
Bennie Fowler,DEN,WR,5.1,1.2,9.5,15.86,3,8,37.5,21,0,1.3,1,0.2,2017,6
Zach Ertz,PHI,TE,4.5,1.3,10.2,18.5,2,5,40,18,2,--,--,--,2017,6
Delanie Walker,TEN,TE,8,2.7,6.4,19.24,4,8,50,17,0,5.2,7.5,-2.3,2017,6
Demarcus Robinson,KC,WR,11.2,5.4,13,22.45,1,5,20,16,0,1.1,2.2,-1.1,2017,6
Jamison Crowder,WAS,WR,7.1,2.8,4.7,7.99,3,5,60,15,0,1.4,2.8,-1.4,2017,6
Russell Shepard,CAR,WR,6.7,4.2,9.1,14.29,2,6,33.33,12,0,0.3,0.4,-0.1,2017,6
Michael Thomas,NO,WR,7.1,3.2,2.4,8.68,3,5,60,11,0,2.5,3.5,-1,2017,6
Trent Taylor,SF,WR,6.1,2.5,7.3,7.77,2,5,40,11,0,1.3,2.2,-0.9,2017,6
David Njoku,CLE,TE,8.6,2,3.8,5.67,2,5,40,0,0,0.6,2.3,-1.8,2017,6
Amari Cooper,OAK,WR,4,2.9,13.2,43.51,11,19,57.89,210,2,7.4,4.2,3.2,2017,7
Ted Ginn,NO,WR,7.6,5,6,16.49,7,7,100,141,0,14.1,11.3,2.8,2017,7
Tyreek Hill,KC,WR,7.2,3.3,11.6,34.89,6,8,75,125,1,7,7,0,2017,7
Jared Cook,OAK,TE,5.5,2.2,11.4,13.9,6,7,85.71,107,0,6.6,6.3,0.3,2017,7
Allen Hurns,JAX,WR,6.3,3.2,11,30.63,5,8,62.5,101,0,10.6,9.6,1,2017,7
Julio Jones,ATL,WR,4.5,2.7,12.1,53.48,9,13,69.23,99,1,3.9,4.6,-0.7,2017,7
O.J. Howard,TB,TE,6.7,7.3,11.6,15.55,6,6,100,98,2,4.4,5.1,-0.7,2017,7
Jarvis Landry,MIA,WR,5.1,3.4,10.3,32.77,7,11,63.64,93,1,4.5,4.7,-0.2,2017,7
Doug Baldwin,SEA,WR,3.8,3.1,13.5,42.34,9,12,75,92,1,3,5,-2,2017,7
Mike Evans,TB,WR,3.7,2.2,13.5,30.24,7,10,70,91,1,2.5,2.1,0.5,2017,7
Zach Ertz,PHI,TE,3.2,2.2,10.9,15.94,5,5,100,89,1,6.9,4.1,2.8,2017,7
Kenny Stills,MIA,WR,5.2,2.2,13.8,35.87,6,9,66.67,85,2,1.4,1.5,-0.1,2017,7
Michael Thomas,NO,WR,5.5,2.3,13.4,57.7,7,11,63.64,82,0,2.8,2.9,-0.1,2017,7
Marquise Goodwin,SF,WR,6.5,2.8,10.6,35.95,4,8,50,80,0,8.7,8.4,0.2,2017,7
Hunter Henry,LAC,TE,6.3,2.9,6.2,27.59,4,5,80,73,0,12.7,9.9,2.8,2017,7
DeSean Jackson,TB,WR,5.4,3.7,14.8,26.53,5,8,62.5,73,0,8,9.4,-1.4,2017,7
Marqise Lee,JAX,WR,4.8,3.6,14.6,30.5,4,6,66.67,72,0,10.1,1.8,8.3,2017,7
Chris Hogan,NE,WR,7.6,2.8,9.6,26.56,4,6,66.67,71,0,8.1,5.9,2.2,2017,7
Demarcus Robinson,KC,WR,6.9,4.3,8.9,26.67,5,8,62.5,69,0,4.2,5.3,-1.1,2017,7
A.J. Derby,DEN,TE,3.8,3.5,9.2,31.17,6,7,85.71,66,0,3.3,4.2,-0.9,2017,7
Brandin Cooks,NE,WR,5,2,9.9,22.89,4,5,80,65,1,5.7,3.8,1.9,2017,7
Kelvin Benjamin,CAR,WR,4.8,1.7,14.6,30.56,3,6,50,65,0,2.5,2.1,0.3,2017,7
Antonio Brown,PIT,WR,4.1,1.9,18.4,54.62,4,10,40,65,1,2.1,1.8,0.2,2017,7
Mohamed Sanu,ATL,WR,3.7,3.2,11,37.23,6,10,60,65,0,3,3.7,-0.8,2017,7
Jordan Reed,WAS,TE,5.7,2.5,7.5,27.57,8,10,80,64,2,1.5,1.6,-0.1,2017,7
Delanie Walker,TEN,TE,4.6,2.5,11.8,40.76,7,10,70,63,0,2.6,3.1,-0.6,2017,7
Dez Bryant,DAL,WR,4.3,2.6,7,43.6,7,10,70,63,1,5.3,3.4,1.9,2017,7
Evan Engram,NYG,TE,6.9,3.3,8.7,37.81,6,12,50,60,1,7.3,6.3,1.1,2017,7
Cameron Brate,TB,TE,5.9,2.7,9,18,6,9,66.67,60,0,2.4,2.6,-0.2,2017,7
Robert Woods,LAR,WR,9,3.1,8.5,22.91,5,7,71.43,59,0,3.5,3.6,-0.1,2017,7
David Njoku,CLE,TE,5.6,1.5,20,34.91,2,5,40,58,0,8.5,8,0.5,2017,7
Cooper Kupp,LAR,WR,8.7,2.4,7.8,29.93,4,10,40,51,1,8.4,6.3,2.1,2017,7
Rob Gronkowski,NE,TE,5.8,2.2,13.9,44.84,3,7,42.86,51,0,4.2,3.2,1,2017,7
Jimmy Graham,SEA,TE,4.9,2.4,8.5,13.26,3,6,50,51,1,9.9,2.9,7.1,2017,7
Pierre Garcon,SF,WR,5.8,3.4,7.9,23.49,5,7,71.43,49,0,4.2,4,0.2,2017,7
Bennie Fowler,DEN,WR,8.4,5.9,5.2,12.61,5,5,100,45,0,3.8,5.5,-1.8,2017,7
Nelson Agholor,PHI,WR,4.4,2.7,7.3,10.69,4,5,80,45,1,3.2,2,1.2,2017,7
Jack Doyle,IND,TE,5.5,4.3,3.1,7.62,6,7,85.71,44,0,4.6,5.7,-1.1,2017,7
Kyle Rudolph,MIN,TE,5.3,3.7,4.9,17.75,5,7,71.43,43,0,6.7,7.2,-0.5,2017,7
Sammy Watkins,LAR,WR,6.3,3.2,15.7,30.2,3,5,60,42,0,2.3,1.7,0.6,2017,7
A.J. Green,CIN,WR,7.7,2.2,16.6,35.09,3,6,50,41,0,0.7,1.5,-0.8,2017,7
Devin Funchess,CAR,WR,7.7,3.3,9.8,27.24,4,8,50,41,0,6,8.6,-2.6,2017,7
Keenan Allen,LAC,WR,7.2,1.3,12,74.66,3,7,42.86,41,0,1.8,2.2,-0.3,2017,7
Adam Thielen,MIN,WR,4.6,2.6,6.2,38.31,5,12,41.67,41,0,5.8,6.9,-1,2017,7
Rishard Matthews,TEN,WR,7.7,2.5,10.5,21.74,3,6,50,40,0,3.8,2.5,1.3,2017,7
Josh Doctson,WAS,WR,8.9,3.3,11.8,21.53,3,5,60,39,0,6.6,5.1,1.5,2017,7
Trent Taylor,SF,WR,6.9,2.2,3.8,8.13,5,5,100,39,0,4,4.2,-0.3,2017,7
J.J. Nelson,ARI,WR,6,2.8,14.4,22.63,2,5,40,39,0,3.6,1.8,1.8,2017,7
Benjamin Watson,BAL,TE,7.6,3.6,3.8,8.89,5,5,100,38,0,3.8,3.5,0.4,2017,7
Jaron Brown,ARI,WR,7.3,1.9,14.1,22.21,2,5,40,37,0,4.9,4.1,0.8,2017,7
Alshon Jeffery,PHI,WR,2.3,0.9,15.1,26.5,2,6,33.33,37,0,8.4,6.3,2.1,2017,7
Chris Moore,BAL,WR,7,1.3,17.3,65.46,2,8,25,36,1,3.8,2.6,1.2,2017,7
Robby Anderson,NYJ,WR,6.5,3.1,10.7,25.57,3,5,60,35,1,1.6,1.7,-0.1,2017,7
Travis Kelce,KC,TE,7.6,4.1,9,16.88,4,5,80,33,1,1.8,3.4,-1.6,2017,7
Travis Rudolph,NYG,WR,3.2,2,6.9,15.12,3,6,50,32,0,4.3,3.2,1.1,2017,7
Tyler Lockett,SEA,WR,6.6,2.3,12.9,23.53,4,7,57.14,29,0,2.4,2.3,0.1,2017,7
Brandon LaFell,CIN,WR,5.7,3.4,10.5,25.9,4,7,57.14,28,1,1.7,2.6,-0.9,2017,7
Jamison Crowder,WAS,WR,5.7,2.3,11.2,24.66,2,6,33.33,28,0,4.8,3.3,1.6,2017,7
T.Y. Hilton,IND,WR,8.4,2.5,13,36.26,2,8,25,27,0,0.9,0.7,0.3,2017,7
Michael Crabtree,OAK,WR,3.4,2.1,12.4,15.09,3,7,42.86,24,1,1.3,2.3,-1,2017,7
Griff Whalen,BAL,WR,6.4,2.4,8.9,25.19,4,6,66.67,23,0,0.8,1.3,-0.5,2017,7
Austin Seferian-Jenkins,NYJ,TE,--,3.6,11.8,28.29,3,5,60,21,1,1.9,4.9,-3,2017,7
Ed Dickson,CAR,TE,5.8,0.7,9.8,17.06,3,5,60,18,0,0.3,0.7,-0.3,2017,7
Zay Jones,BUF,WR,6.6,2.7,14.7,33.84,2,9,22.22,17,0,1.5,1,0.5,2017,7
Seth Roberts,OAK,WR,3.3,1.1,16.4,17.08,1,6,16.67,15,0,9.1,5.6,3.6,2017,7
Davante Adams,GB,WR,6.9,3,8,16.96,2,5,40,12,0,2.3,3.3,-1,2017,7
Roger Lewis,NYG,WR,4.9,1.1,8.7,18.94,1,6,16.67,12,0,-0.2,1.1,-1.2,2017,7
Demaryius Thomas,DEN,WR,4.4,2.5,6.6,19.26,2,6,33.33,9,0,3.7,4.8,-1.1,2017,7
Kenny Britt,CLE,WR,3.9,3,15,26.23,2,5,40,7,0,0.4,1.3,-0.8,2017,7
DeAndre Hopkins,HOU,WR,5,2.1,13.8,34.81,8,11,72.73,224,1,14.4,7.5,6.9,2017,8
JuJu Smith-Schuster,PIT,WR,6.9,2.8,11.2,28.4,7,10,70,193,1,17.3,9.6,7.7,2017,8
Travis Kelce,KC,TE,4,3.7,11.7,40.1,7,10,70,133,1,7.4,5.9,1.5,2017,8
Marvin Jones,DET,WR,5.7,2.5,18,39.68,6,11,54.55,128,0,2.7,2.3,0.4,2017,8
Will Fuller,HOU,WR,6.9,3,25.1,45.96,5,8,62.5,125,2,3.9,4.4,-0.5,2017,8
Jamison Crowder,WAS,WR,6.7,3.3,8.3,49.95,9,13,69.23,123,0,5.3,5.7,-0.4,2017,8
Tyler Lockett,SEA,WR,7.1,3.1,17.9,25.2,6,8,75,121,0,3.5,4.5,-1,2017,8
Jack Doyle,IND,TE,7,3,6.8,34,12,14,85.71,121,1,3.5,3.9,-0.3,2017,8
Paul Richardson,SEA,WR,7.9,1.4,17.7,21.78,6,7,85.71,105,2,0.5,0.8,-0.3,2017,8
Robby Anderson,NYJ,WR,5.3,4.6,11.9,33.36,6,6,100,104,1,5.9,7.2,-1.3,2017,8
Adam Thielen,MIN,WR,4.8,1.7,11.1,41.76,5,10,50,98,1,2.4,2.9,-0.5,2017,8
Tre McBride,CHI,WR,8.3,4.3,14.9,27.37,3,5,60,92,0,17.2,18.6,-1.4,2017,8
T.J. Jones,DET,WR,8.7,2.2,17.5,28.05,4,8,50,88,0,3.6,6.1,-2.5,2017,8
Golden Tate,DET,WR,6.9,2.1,8,12.86,7,8,87.5,86,0,3.5,3.3,0.1,2017,8
Michael Crabtree,OAK,WR,5.5,1.3,15.1,50.22,5,10,50,83,0,3.1,4.7,-1.7,2017,8
Michael Thomas,NO,WR,4.6,2.7,8.3,51.5,7,8,87.5,77,0,4.2,5.1,-0.9,2017,8
Julio Jones,ATL,WR,5.8,2.1,17.7,37.55,3,6,50,74,0,1.5,3.6,-2.1,2017,8
Mohamed Sanu,ATL,WR,5.1,2.6,9.9,24.41,6,7,85.71,74,1,3.3,2.8,0.5,2017,8
Antonio Brown,PIT,WR,5.6,2,16,40.33,5,10,50,70,0,4.5,3.4,1.1,2017,8
Demaryius Thomas,DEN,WR,5.3,2.4,10.6,30.51,5,9,55.56,66,0,1.9,2.4,-0.5,2017,8
Kenny Stills,MIA,WR,5.7,2.2,13.4,43.27,5,10,50,65,0,2.1,3,-0.8,2017,8
Travis Benjamin,LAC,WR,6.5,3.8,10.9,29.61,5,9,55.56,64,1,3.3,2.8,0.5,2017,8
Cameron Brate,TB,TE,5.5,2.7,12.3,15.69,4,5,80,64,0,3.3,4.8,-1.5,2017,8
Alshon Jeffery,PHI,WR,5.4,2,17.8,45.32,2,8,25,62,1,14.2,6.3,8,2017,8
Keenan Allen,LAC,WR,4.4,3,11.4,17.27,4,5,80,61,0,2.3,2.7,-0.4,2017,8
Mike Evans,TB,WR,5.5,1.7,15.2,38.69,5,10,50,60,0,0.1,1.7,-1.6,2017,8
Chris Hogan,NE,WR,5,2.4,15.7,29.17,5,7,71.43,60,0,2.3,2.2,0.2,2017,8
Eric Ebron,DET,TE,6.5,3,11.9,14.24,2,6,33.33,58,0,19.4,11.5,7.8,2017,8
Jared Cook,OAK,TE,7.2,3.3,6.2,10.32,4,5,80,57,0,6.8,4,2.8,2017,8
Rob Gronkowski,NE,TE,4.5,2,12.2,29.02,5,9,55.56,57,1,3.6,4.1,-0.5,2017,8
Doug Baldwin,SEA,WR,7.9,2.8,9.9,17.53,6,10,60,54,0,1.9,1.8,0.1,2017,8
Jeremy Maclin,BAL,WR,6.1,2,13.2,52.55,3,5,60,53,1,1,1.2,-0.2,2017,8
Amari Cooper,OAK,WR,4,2.1,9.2,30.66,5,10,50,48,0,3.6,3.5,0.1,2017,8
Leonte Carroo,MIA,WR,3.6,2.3,6.6,17.1,6,8,75,48,0,0.8,1.2,-0.4,2017,8
Austin Hooper,ATL,TE,3.7,3.7,9.7,20.49,4,6,66.67,47,1,1.3,1.6,-0.3,2017,8
Tyler Kroft,CIN,TE,4.6,3.7,5.2,15.79,5,6,83.33,46,0,5,6.5,-1.5,2017,8
Brandon LaFell,CIN,WR,3.5,2.7,7.5,18.86,4,5,80,44,0,6.2,8.1,-1.9,2017,8
Ricardo Louis,CLE,WR,5.7,1.6,10.9,35.16,2,6,33.33,42,0,5.8,12.4,-6.6,2017,8
Jimmy Graham,SEA,TE,6.6,2.5,8.8,7.78,4,5,80,39,2,2.2,1.9,0.3,2017,8
Kelvin Benjamin,CAR,WR,6.3,1.6,13.1,28.83,3,7,42.86,39,1,1.6,1.7,-0.1,2017,8
Dez Bryant,DAL,WR,2.9,2.7,12.1,36.22,4,6,66.67,39,0,4,6.5,-2.5,2017,8
Tyreek Hill,KC,WR,5.8,2.1,10.9,22.33,2,6,33.33,38,0,9.8,15,-5.2,2017,8
Ryan Grant,WAS,WR,5.6,2,5.8,18.86,5,7,71.43,38,0,4.8,3.7,1.1,2017,8
DeSean Jackson,TB,WR,7.9,2.6,14.9,30.39,3,8,37.5,37,0,2.1,4.1,-2,2017,8
Bennie Fowler,DEN,WR,4.4,2.7,9,17.31,2,6,33.33,35,0,15.2,10.3,5,2017,8
Zach Ertz,PHI,TE,4.2,5.4,11,21.02,4,6,66.67,34,1,4.3,4.2,0.1,2017,8
Kamar Aiken,IND,WR,5.1,3.4,9.4,16.86,2,5,40,33,0,5.5,5.4,0.1,2017,8
Jarvis Landry,MIA,WR,3.3,2.4,7.6,29.39,5,12,41.67,33,0,3.4,3.6,-0.3,2017,8
Zay Jones,BUF,WR,5.2,2.2,16.9,40.14,3,5,60,32,0,1.2,2.4,-1.2,2017,8
Jason Witten,DAL,TE,5.4,2.1,5.2,13.01,3,5,60,31,0,5.2,7.8,-2.6,2017,8
Austin Seferian-Jenkins,NYJ,TE,4.3,2.9,4.5,10.37,5,5,100,28,0,1.1,1.2,0,2017,8
Kyle Rudolph,MIN,TE,5.9,2.6,6.1,15.93,6,7,85.71,27,1,1,1.9,-0.9,2017,8
Stefon Diggs,MIN,WR,5.1,1.7,9.8,22.05,4,6,66.67,27,0,2,2.3,-0.3,2017,8
A.J. Green,CIN,WR,3.4,2.4,10.6,42.7,3,8,37.5,27,1,3.7,6.4,-2.7,2017,8
Adam Humphries,TB,WR,7.3,3.6,2.9,4.38,4,6,66.67,26,0,5.4,8,-2.5,2017,8
Brandin Cooks,NE,WR,4.8,4.2,9.4,19.91,5,8,62.5,26,0,1,3.7,-2.7,2017,8
Ed Dickson,CAR,TE,7.9,1.9,7.1,11.19,4,5,80,24,0,0.8,1.9,-1.1,2017,8
Tyrell Williams,LAC,WR,4.8,2.1,17.8,32.24,1,6,16.67,24,0,10.1,10.2,-0.2,2017,8
Kendall Wright,CHI,WR,6,2.4,11.5,33.63,2,8,25,23,0,2.3,4,-1.7,2017,8
David Njoku,CLE,TE,6.5,4.6,8.6,32.27,2,7,28.57,19,0,9.1,8.5,0.6,2017,8
T.Y. Hilton,IND,WR,6.6,1,16.2,40.51,2,7,28.57,15,0,4.6,3.2,1.4,2017,8
Dion Sims,CHI,TE,4.1,2.6,10.1,18.52,3,5,60,15,0,1.6,2,-0.5,2017,8
Jermaine Kearse,NYJ,WR,5.9,2.3,8.8,20.51,2,5,40,14,0,2.5,3.3,-0.8,2017,8
Danny Amendola,NE,WR,5.9,2.6,6.5,10.31,2,6,33.33,14,0,5.3,5.4,-0.1,2017,8
Devin Funchess,CAR,WR,8.4,2.7,22.3,41.99,2,6,33.33,11,0,4.6,5.5,-0.9,2017,8
T.Y. Hilton,IND,WR,6.8,1.9,16.7,69.73,5,9,55.56,175,2,15.8,8.8,7,2017,9
Terrance Williams,DAL,WR,8.5,5.1,7,19.34,9,9,100,141,0,8.7,7.8,0.9,2017,9
Jared Cook,OAK,TE,5.6,3.1,11.5,31.23,8,9,88.89,126,0,3.3,3.9,-0.6,2017,9
Julio Jones,ATL,WR,7,2.8,22.5,63.86,6,12,50,118,0,5.7,4.7,0.9,2017,9
Golden Tate,DET,WR,5.5,2.9,9.6,31.69,7,9,77.78,113,0,10.8,9.2,1.6,2017,9
Doug Baldwin,SEA,WR,4.9,3,15.7,33.54,7,12,58.33,108,1,3.5,3.2,0.3,2017,9
Marvin Jones,DET,WR,2.3,1.2,12.1,48.78,7,11,63.64,107,2,3.2,2.3,0.9,2017,9
Jeremy Maclin,BAL,WR,5.5,1.9,9.9,23.58,8,9,88.89,98,0,1.7,2,-0.3,2017,9
Devin Funchess,CAR,WR,7.2,4.8,9.6,35.04,5,7,71.43,86,0,8.9,6.4,2.6,2017,9
DeAndre Hopkins,HOU,WR,4.4,1.8,14.4,43.23,6,16,37.5,86,1,2.7,3.9,-1.2,2017,9
Alshon Jeffery,PHI,WR,6,2.1,11.4,40.5,6,11,54.55,84,2,4.9,3.5,1.4,2017,9
Julius Thomas,MIA,TE,5.4,3.1,8.2,29.8,6,8,75,84,1,3.7,4.8,-1.2,2017,9
Deonte Thompson,BUF,WR,7.5,2.6,13.2,37.93,7,10,70,81,1,1.6,1.9,-0.3,2017,9
DeVante Parker,MIA,WR,6.1,2.4,15.9,57.38,5,8,62.5,76,0,5.6,5.7,-0.1,2017,9
Marqise Lee,JAX,WR,6.7,2.5,11.6,53.09,8,12,66.67,75,1,2.5,3.8,-1.3,2017,9
Travis Kelce,KC,TE,8.5,2.3,6.6,26.58,7,9,77.78,73,1,3.9,2.7,1.3,2017,9
Dez Bryant,DAL,WR,4,2.2,14.8,50.09,6,11,54.55,73,0,0.3,1.4,-1.1,2017,9
Vernon Davis,WAS,TE,4.8,1.8,9.6,32.46,6,9,66.67,72,0,5.9,4.2,1.7,2017,9
Delanie Walker,TEN,TE,8.1,3.4,7.8,14.11,5,5,100,71,0,6.4,6.2,0.2,2017,9
Demaryius Thomas,DEN,WR,6.6,2.7,7.5,34.4,8,12,66.67,70,1,5.2,4.9,0.3,2017,9
Sterling Shepard,NYG,WR,6.2,1.9,11.6,31.98,5,9,55.56,70,0,3.7,4.5,-0.8,2017,9
Robert Woods,LAR,WR,6,5.3,5.2,11.08,4,5,80,70,2,14.8,6,8.8,2017,9
Larry Fitzgerald,ARI,WR,4.7,2.3,7.9,21.42,5,9,55.56,70,0,6.3,4.3,2,2017,9
Rishard Matthews,TEN,WR,4.3,1.7,15.1,38.1,4,7,57.14,70,1,1.3,2.5,-1.2,2017,9
Evan Engram,NYG,TE,3.5,2.7,8.3,25.27,4,10,40,70,1,8.5,5.2,3.3,2017,9
Marquise Goodwin,SF,WR,7.1,2.5,19.6,38.2,2,8,25,68,0,3.6,3.9,-0.3,2017,9
Michael Thomas,NO,WR,7.1,2,7.8,41.19,8,11,72.73,65,0,3.1,4.5,-1.4,2017,9
Jack Doyle,IND,TE,3.8,4.1,3.9,16.35,8,9,88.89,63,0,4.8,4.3,0.6,2017,9
Ted Ginn,NO,WR,6.7,3.3,18.4,44.44,4,5,80,59,1,2.6,2.7,-0.1,2017,9
Jimmy Graham,SEA,TE,5.2,3.4,7.5,10.7,5,8,62.5,59,0,5.2,5.9,-0.7,2017,9
Josh Doctson,WAS,WR,2.2,1.5,15.7,29.41,3,5,60,59,0,2.8,1.6,1.2,2017,9
Randall Cobb,GB,WR,5.1,2.7,2.6,6.23,5,5,100,58,0,9,7.7,1.3,2017,9
Amari Cooper,OAK,WR,3.9,2.5,14.1,38.31,4,9,44.44,58,0,7,6.1,0.9,2017,9
Cooper Kupp,LAR,WR,6.7,4.9,11.9,25.29,3,5,60,54,0,7.4,7.3,0.1,2017,9
Zay Jones,BUF,WR,8.7,1.8,10.3,20.89,6,7,85.71,53,1,0.3,0.4,-0.1,2017,9
Davante Adams,GB,WR,6.5,2.1,10.2,48.64,7,10,70,53,0,2.9,2.9,-0.1,2017,9
Nick O'Leary,BUF,TE,2.6,2.5,5.1,7.36,4,5,80,51,0,7.3,5.6,1.7,2017,9
Marcedes Lewis,JAX,TE,4.7,6.9,5.5,12.58,3,6,50,49,0,11.6,10,1.5,2017,9
Robby Anderson,NYJ,WR,6.8,4.1,8.6,37.15,4,5,80,48,1,3.1,2.9,0.2,2017,9
Keelan Cole,JAX,WR,4.9,3.3,7.2,13.68,3,5,60,47,0,6.6,5.2,1.4,2017,9
Jordan Matthews,BUF,WR,5.7,1.9,5.2,12.03,6,8,75,46,0,3,3.3,-0.4,2017,9
Stephen Anderson,HOU,TE,2.7,1.6,11.6,13.02,4,6,66.67,44,0,0.9,1.9,-1,2017,9
Benjamin Watson,BAL,TE,5.2,2.6,5.8,15.27,7,10,70,41,0,2.4,3.6,-1.2,2017,9
Kendrick Bourne,SF,WR,7.3,2.5,17.2,25.18,2,6,33.33,39,0,3.7,6.1,-2.4,2017,9
Jermaine Kearse,NYJ,WR,5.6,3.4,10.9,56.69,2,6,33.33,38,0,7.2,9.5,-2.2,2017,9
Austin Hooper,ATL,TE,3.9,4.9,10.2,14.45,3,6,50,36,0,11,10.5,0.4,2017,9
Jordy Nelson,GB,WR,5.5,1.8,12.9,42.84,4,7,57.14,35,0,2.8,3.6,-0.8,2017,9
Tavarres King,NYG,WR,6.6,2.5,19.9,36.64,3,6,50,33,1,0.2,-0.3,0.4,2017,9
Jarvis Landry,MIA,WR,6.4,5.8,2.6,8.18,6,7,85.71,32,1,4.3,4.3,0,2017,9
Will Fuller,HOU,WR,3.9,1.8,18.5,27.67,2,8,25,32,0,7,8.3,-1.3,2017,9
Emmanuel Sanders,DEN,WR,7.6,1.5,10.6,20.23,1,5,20,30,0,3.5,4.2,-0.7,2017,9
Breshad Perriman,BAL,WR,7.4,1.5,18.1,33.34,3,7,42.86,28,0,0.7,1.4,-0.7,2017,9
Corey Davis,TEN,WR,2.4,1.4,11.9,21.37,2,5,40,28,0,3.5,5.6,-2.1,2017,9
George Kittle,SF,TE,5.5,1.8,5,6.08,3,5,60,27,0,3.6,2.9,0.7,2017,9
Cole Beasley,DAL,WR,6.8,1.4,6.4,11.81,4,6,66.67,24,2,0.6,0.8,-0.1,2017,9
Curtis Samuel,CAR,WR,7.1,2.7,8.2,21.59,3,5,60,23,0,0.9,2.5,-1.6,2017,9
Bruce Ellington,HOU,WR,6.5,2.1,11.1,16.59,3,8,37.5,22,0,2.5,2.7,-0.2,2017,9
Mike Wallace,BAL,WR,6.5,2.6,8.7,15.96,4,7,57.14,19,1,1.2,2.9,-1.7,2017,9
Aldrick Robinson,SF,WR,8.5,2.6,8,15.54,2,8,25,18,0,2.5,2,0.5,2017,9
Mike Evans,TB,WR,5,1.8,15.8,38.82,1,6,16.67,13,0,8.2,12.6,-4.4,2017,9
Tyler Lockett,SEA,WR,6.7,2.1,18.7,26.55,2,8,25,10,0,0.9,3.1,-2.1,2017,9
Robert Woods,LAR,WR,7.7,4.6,11,45.25,8,10,80,171,2,12,9.7,2.3,2017,10
Adam Thielen,MIN,WR,6.3,2.4,10.8,54.01,8,12,66.67,166,1,9.8,7.5,2.3,2017,10
Sterling Shepard,NYG,WR,5.4,3.6,11.2,47.75,11,13,84.62,142,0,4.3,5.1,-0.7,2017,10
Emmanuel Sanders,DEN,WR,3.9,2.3,13.1,52.42,6,11,54.55,137,0,10,6.3,3.7,2017,10
Michael Thomas,NO,WR,4.6,3,7.2,63,9,10,90,117,0,5.6,5.8,-0.2,2017,10
A.J. Green,CIN,WR,4.3,1.4,14.9,35.84,5,7,71.43,115,1,13,5.2,7.8,2017,10
Larry Fitzgerald,ARI,WR,5,1.9,12.6,33.3,10,14,71.43,113,0,2.2,2.9,-0.8,2017,10
DeAndre Hopkins,HOU,WR,6.5,2,12,47.39,7,14,50,111,0,3.5,3.9,-0.4,2017,10
Chester Rogers,IND,WR,7.5,6.9,8.5,27.65,6,6,100,104,1,8.9,8.3,0.6,2017,10
Golden Tate,DET,WR,6.9,3.7,3.9,17.45,6,7,85.71,97,1,12.3,5.1,7.3,2017,10
JuJu Smith-Schuster,PIT,WR,6.3,2.8,11.8,33.9,5,7,71.43,97,1,5.4,2.7,2.7,2017,10
Doug Baldwin,SEA,WR,6.8,3.4,5.7,13.62,5,6,83.33,95,0,12.4,5.3,7,2017,10
Brandon LaFell,CIN,WR,4.1,3,7.5,25.6,6,10,60,95,1,8.8,7,1.7,2017,10
Devin Funchess,CAR,WR,5.9,2.6,8.1,20.42,5,6,83.33,92,2,10.5,5.2,5.3,2017,10
Davante Adams,GB,WR,6,2.9,10.8,54.54,5,8,62.5,90,1,4.2,4.2,0,2017,10
Dontrelle Inman,CHI,WR,4.1,2.6,11.1,28.09,6,8,75,89,0,3.7,4.2,-0.6,2017,10
